id,entry_id,source_file,source_group,source_version
"55531","16180","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55532","16181","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55534","16181","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55536","16182","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55537","16182","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55538","16183","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55539","16183","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55540","16184","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55541","16184","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55542","16185","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55543","16185","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55544","16186","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55546","16186","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55548","16187","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55550","16187","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55552","16188","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55554","16188","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55556","16189","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55558","16189","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55560","16190","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55562","16190","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55564","16191","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55566","16191","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55568","16192","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55570","16192","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55572","16193","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55574","16193","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55576","16194","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55578","16194","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55580","16195","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55582","16195","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55584","16196","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55586","16196","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55588","16197","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55590","16197","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55592","16198","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55594","16198","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
